filename,caption,paraphrased,negation
000000090108.jpg,A small bathroom with an open design concept,A bathroom with an open design concept that is small in size.,A small bathroom without an open design concept.
000000546011.jpg,A trio of zebras stand together in the grass.,A group of three zebras stand next to each other in the grass.,A trio of zebras are running away from each other in the grass.
000000229849.jpg,A tennis player taking a swing at a ball,The tennis player swings the racket at the ball.,A tennis player is running after a ball.
000000127517.jpg,A row of surfboards sticking out of the sand sitting next to each other.,A bunch of surfboards lined next to each other are protruding from the sand .,A row of surfboards buried in the sand sitting next to each other.
000000530854.jpg,Several different opened umbrellas all located near each other.,Numerous opened umbrellas are grouped closely together.,Several different opened umbrellas all located far from each other.
000000218439.jpg,Person brushing their teeth and looking at their phone.,The person is staring at their phone while brushing the teeth.,Person brushing their teeth and putting down their phone.
000000318080.jpg,Two bears in the water with their mouths open growling at each other.,The two bears in the water are growling at each other with their mouths open.,Two bears in the water splashing at each other.
000000348708.jpg,The banana is laying next to an almost empty bowl.,An almost empty bowl lies next to the banana.,The banana is laying away from an almost empty bowl.
000000458992.jpg,a person using a knife and fork to cut a pizza,A knife and fork is being used by a person to cut a pizza.,A person using a knife and fork to share a pizza.
000000511321.jpg,Some very nice looking boats in the water.,Some boats are in the water and they look very nice.,Some very nice looking boats on the beach.
000000487583.jpg,A table with a white cup and a cookie next to a toilet.,A toilet has a table with a cookie and a white cup next to it.,A table with a white cup and a cookie far from a toilet.
000000456496.jpg,"A person sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower behind.",Three pigeons accompany the person sitting on the ledge along with gate railing and trees with the base of the eiffel tower behind.,"A person sitting on ledge with three pigeons, with gate railing, trees, and base of the Eiffel Tower next to her."
000000336587.jpg,A stop sign sitting on a pole that is somewhat broken,A stop sign is perched on a partially broken pole.,A stop sign sitting on a pole that is fixed.
000000087875.jpg,a fire hydrant near a tall bush in a field,A tall bush is situated in a field close to a fire hydrant.,A fire hydrant distant from a tall bush in a field.
000000227765.jpg,A wooden spoon in a soup pot on the stove.,The soup pot containing the wooden spoon is positioned on the stove.,A wooden spoon above a soup pot on the stove.
000000068387.jpg,A professional baseball holding a bat at home base.,A professional baseball player is situated at the home base with a bat in hand.,A professional baseball dropping a bat at home base.
000000090284.jpg,A person playing in a tennis match in a tennis court.,"A person is in the tennis court, playing in a tennis match.",A person is observing a tennis match in a tennis court.
000000144798.jpg,A close up of a toilet and a bathtub with toys,A close-up of a bathtub with toys and a toilet are in view.,A far away shot of a toilet and a bathtub with toys.
000000180135.jpg,A person holding a skate board is speaking into a microphone.,The person is speaking into the microphone while holding a skateboard.,A person riding a skate board is speaking into a microphone.
000000212166.jpg,A small child eating a plate of food with hands.,A small child is using hands to eat a plate of food.,A small child eating a plate of food using utensils.
000000190756.jpg,A person flying through the air while riding a bike.,The person riding the bike is flying through the air.,A person is landing on the ground after riding a bike through the air.
000000172946.jpg,A group of people standing around holding Nintendo Wii controllers.,A group of people with Nintendo Wii controllers are standing around.,"A group of people sitting in front of a TV, holding Nintendo Wii controllers."
000000194875.jpg,A street scene with motorcycles parked along the side of the road with people dining outside.,A scene of a street with people dining outside and parked motorcycles along the side of the road.,A street scene with motorcycles parked along the side of the road with people walking past.
000000378284.jpg,A person sits across from a pizza ready to be served.,"The pizza is ready to be served, and a person is seated across from the pizza.",A person is standing across from a pizza ready to be served.
000000290248.jpg,Several people are grouped together in a public area.,Several individuals congregate in a public space.,Several people are moving around in a public area.
000000018575.jpg,"A burger sitting on a table, with another next to it.",Two burger sits next to one another on the table.,"A burger under a table, with another next to it."
000000350002.jpg,A person poses in a dress next to a hair dryer.,The person while being beside the the hair dryer strikes a pose in a dress.,A person poses in a dress far from a hair dryer.
000000099242.jpg,A person skiing down a snowy hill alone.,A person is skiing alone down a hill covered with snow.,A person walking up a snowy hill alone.
000000351823.jpg,A person holds a tennis racket on a tennis court.,A person is on a tennis court holding a tennis racket.,A person holds a tennis racket off a tennis court.
